HFA,KFA,AFA,HAA,KVA,AVA,KVM,GRF,KFM,ASF,H/Q,T/G,ACL stress
40.58695884,31.53156128,32.230607,14.55276307,8.34247052,-7.34171268,0.117646341,0.094181991,0.034657358,1.13200189,0.717745295,0.622997054,2.160301345
40.8159594,29.69066423,22.92246526,22.89234125,9.22842656,-5.85916137,0.149949936,0.078203103,0.038941539,1.212153292,0.663594331,0.323211742,2.187327803
36.26646882,28.80476977,25.55210343,16.82946487,10.56719408,-5.61940069,-0.012675387,0.061440485,0.039277652,1.414758697,0.656986036,0.296292773,2.205379005
57.68593757,34.33870034,24.37853565,27.23367035,12.322056,-5.81872183,0.129062955,0.043469953,0.029122798,1.356991349,0.830846837,0.393846185,2.078326899
47.36097098,31.87450462,24.25169699,17.92623783,12.1565993,-6.88907401,0.027131028,0.044494732,0.021785229,1.545413353,0.829008565,0.425176215,2.116758317
40.11802657,31.00665613,25.96373871,25.34092885,8.74159911,-5.44941103,0.021396384,0.084241313,0.039089336,1.542196798,0.661410674,0.150472775,2.153617615
46.93376798,36.44765473,25.5326017,26.38479249,13.55761127,-6.55836174,0.045444298,0.077667154,0.038964499,0.367217408,0.761625142,0.620141483,2.022797169
58.74545272,33.86285148,24.24778043,26.11241236,11.7363378,-4.68913693,0.067336998,0.048529178,0.038182046,0.624688093,0.72986657,0.395812107,2.090216278
34.26556255,28.31597863,23.58568439,18.63482989,10.31189279,-10.66168838,-0.134568167,-0.001000441,0.042600354,1.388034839,0.674488513,0.711348752,2.247787795
43.63905068,33.61861442,26.81081551,26.761857,11.98213576,-3.87956315,-0.065198776,0.057826186,0.032856484,0.40465092,0.735159865,0.489174503,2.086850948
33.37512321,17.17158338,28.57336084,31.67238204,5.15719448,-11.6572093,0.365735169,0.062016837,0.041453495,2.622500193,0.513851831,0.264226179,2.44353305
30.47883702,21.64953244,28.51008448,35.00579323,6.67636183,-9.27071148,0.171316858,0.159471098,0.042980789,1.613869202,0.683225159,0.261237911,2.35657722
42.62517966,25.35476446,28.07469335,33.82106083,8.82611188,-9.08406004,-0.007389878,0.00894385,0.023126358,1.866846678,0.647721973,0.341993186,2.29624099
31.92694941,22.62101937,24.78915132,33.88467759,6.7260547,-7.11409944,-0.015027932,0.084147049,0.030808775,1.055151663,0.63352145,0.279656931,2.329114046
30.78663032,35.24511119,-6.76486279,27.16183042,5.05966124,-9.68625618,0.029757041,0.070053406,0.035429789,2.850945337,0.549227284,1.708525242,2.427450248
40.16057243,34.17165247,-9.28703072,32.0829691,6.561824,-8.79823085,0.205250342,0.111138527,0.043999602,1.47017282,0.623393444,1.303385509,2.292437637
34.39020732,24.25067696,27.2911267,27.21401502,8.09735555,-4.57810006,0.003322477,0.000497297,0.038006526,2.27930644,0.59023431,0.792825254,2.313935943
32.91362694,22.72285337,24.79894582,21.81008178,6.59179306,-5.40043843,0.144946132,0.060026544,0.030633862,1.152081669,0.584954359,0.383684294,2.356694128
34.45173493,22.31041771,25.11864734,32.45961831,7.61491502,-5.11761606,0.055087356,0.085318602,0.033263482,2.867536763,0.574857434,0.438512073,2.348394912
51.59810457,47.12432275,0.9135766,20.10356436,16.32594501,0.9341504,-0.165978213,0.064421884,0.027345009,0.287126721,0.897600919,0.441264713,1.785424798
46.73438368,40.64062477,-7.04270923,23.38195924,21.12557049,-5.13924678,-0.219373183,0.084526793,0.047753574,1.619075288,0.815569776,0.49553887,1.913273191
42.73375745,35.94834815,-12.17191705,26.7102408,18.54313188,-15.86881861,-0.150357191,0.003484528,0.048746085,1.722542285,0.814769356,0.602610184,2.03216595
44.96581644,41.74267007,-3.10086824,17.34920912,23.34436298,-2.14944438,-0.049904738,0.043115803,0.048139179,0.622158633,0.796719424,0.398814766,1.901696136
47.28894076,43.11814683,-9.22340845,23.01704237,24.13249081,-12.067168,0.076631587,0.023927937,0.087951865,2.40996075,0.847540056,0.175611437,1.877196011
50.63575529,49.22740431,3.09028038,19.31389599,18.11129548,-0.54845628,-0.53513098,0.25147158,0.100061438,0.926519266,0.879030779,0.297125525,1.715931903
36.20627903,49.79123526,3.07899639,14.25591109,16.2989469,-7.1920072,-0.229758733,0.07203024,0.04216805,0.69962691,0.843672939,0.504149434,1.764420358
44.79975873,31.44586088,-1.20017683,24.95109614,8.37459314,-11.62718226,-0.148354197,0.001498111,0.03197929,2.789455499,0.674079089,0.620021636,2.160423621
41.89565585,39.90953607,-3.13663953,36.12084053,10.95863877,-6.49111433,-0.47800167,0.048259859,0.021603582,1.725387956,0.817791784,0.634978575,1.966743885
37.87973782,34.89722419,-7.5528948,31.00321829,8.42215447,-5.49178512,0.245226516,0.003484859,0.059897646,2.151074174,0.745849211,1.04394052,2.063925817
40.00257385,33.6552583,-9.62188856,23.09986023,9.40911864,-5.60408099,-0.203096552,0.004475124,0.041481208,1.863925708,0.744707002,0.822920556,2.092399146
30.78663032,35.24511119,-6.76486279,27.16183042,5.05966124,-9.68625618,-0.135553945,0.073767361,0.040397626,2.504393587,0.751018713,0.505547071,2.063162167
40.16057243,34.17165247,-9.28703072,32.0829691,6.561824,-8.79823085,-0.499899848,0.067249766,0.051480943,1.721138651,0.475226257,0.58504811,2.090611981
31.44232586,30.56135603,-7.37089498,20.95150381,10.41319978,-9.15017974,-0.288112067,0.053702854,0.028607401,2.411217361,0.720396269,0.625083792,2.160745027
31.46671024,23.90667268,17.02561978,33.411313,9.7322255,-5.80756772,-0.200720108,0.002481977,0.028458564,1.663059498,0.633152136,0.775519827,2.30992792
