HFA,KFA,HAA,KVA,AVA,KVM,KFM,ASF,H/Q,ACL stress
58.74545272,33.86285148,26.11241236,11.7363378,-4.68913693,-0.011690451,0.038182046,-0.727430444,0.72986657,2.090216278
58.53014553,33.76270356,27.09163865,11.89007807,-3.56774007,-0.076451458,0.02827336,-0.294275834,0.755508871,2.051942373
57.68593757,34.33870034,27.23367035,12.322056,-5.81872183,-0.022406763,0.029122798,-0.672214044,0.830846837,2.078326899
57.49469266,35.37773261,28.26847345,12.98676004,-2.31248878,-0.084135465,0.065293154,-1.481860051,0.779991374,2.019700668
51.59810457,47.12432275,20.10356436,16.32594501,0.9341504,0.028815662,0.027345009,1.77994534,0.897600919,1.785424798
51.56102226,48.11168584,20.99274023,15.07062914,1.90085667,0.078318838,0.047121326,2.093293618,0.894313919,1.743210041
50.92844055,52.07186875,19.64130679,18.53571209,2.8365164,0.072570722,0.035801361,1.465092906,0.863589522,1.644703907
50.63575529,49.22740431,19.31389599,18.11129548,-0.54845628,0.092904684,0.100061438,4.860739979,0.879030779,1.715931903
49.62180174,46.47906235,24.06722959,23.96928322,-9.08995486,0.059511997,0.062310736,2.075660352,0.837175003,1.797051823
47.69822227,33.28297361,18.98999498,12.63774293,-4.39004675,-0.003828549,0.053836301,-1.235989778,0.749869663,2.059274333
47.36097098,31.87450462,17.92623783,12.1565993,-6.88907401,-0.004710248,0.021785229,-0.090856148,0.829008565,2.116758317
47.28894076,43.11814683,23.01704237,24.13249081,-12.067168,-0.013304095,0.087951865,3.900388427,0.847540056,1.877196011
47.12307657,36.60520195,28.55699618,14.63784967,-3.01946354,-0.046673967,0.05296433,-1.517006166,0.788820661,1.980580347
46.93376798,36.44765473,26.38479249,13.55761127,-6.55836174,-0.007889635,0.038964499,-1.357924644,0.761625142,2.022797169
46.73438368,40.64062477,23.38195924,21.12557049,-5.13924678,0.038085622,0.047753574,2.577098609,0.815569776,1.913273191
46.01472246,42.69611441,17.29270883,24.41554117,-2.53359522,0.03021769,0.061546959,2.325069676,0.827445997,1.841467684
44.96581644,41.74267007,17.34920912,23.34436298,-2.14944438,0.008664017,0.048139179,2.65280574,0.796719424,1.901696136
44.92873073,41.09034371,23.70931826,19.13169186,-2.59541081,0.0546224,0.037559579,2.532671222,0.65380955,1.872407161
44.79975873,31.44586088,24.95109614,8.37459314,-11.62718226,0.025755937,0.03197929,1.945982215,0.674079089,2.160423621
44.49833146,31.29430941,25.7393923,8.71912658,-7.39351218,0.033669985,0.022189023,2.274046991,0.66426315,2.123460133
43.63905068,33.61861442,26.761857,11.98213576,-3.87956315,0.011319232,0.032856484,-0.633060107,0.735159865,2.086850948
43.03335316,25.63085127,33.36105261,7.8721269,-4.29727213,-0.071532726,0.066944091,-0.897882332,0.645264964,2.247894031
42.86937855,33.80633984,21.37063647,0.31399668,-6.17291859,0.0003959,0.027672518,2.86671761,0.70786371,2.029635059
42.8121861,39.64753045,26.58070201,20.93126163,-11.62521197,0.004802719,0.066454474,3.435743054,0.780757898,1.958113723
42.79921137,35.03377939,27.44793045,11.66986958,1.14118697,-0.108732284,0.078321759,-1.627685615,0.777888814,2.023565479
42.73375745,35.94834815,26.7102408,18.54313188,-15.86881861,0.026103679,0.048746085,3.088345095,0.814769356,2.03216595
42.66471384,29.85643705,26.26251146,-1.54872401,-1.8299627,0.039946913,0.03840232,2.374835434,0.738199766,2.08731383
42.62517966,25.35476446,33.82106083,8.82611188,-9.08406004,0.001282965,0.023126358,0.111720678,0.647721973,2.29624099
42.50170225,35.37576549,21.42000671,0.60078164,-4.62630357,0.067001552,0.039279544,2.098515896,0.583737788,1.953120259
42.31436954,27.88960911,26.51748741,-2.26708665,-4.79196342,0.019358639,0.017811781,2.933259764,0.604911397,2.163176515
42.07505313,45.36514086,10.47508372,16.77537982,-4.61092625,-0.013902126,0.043943686,1.767834791,0.743467136,1.848624385
41.89565585,39.90953607,36.12084053,10.95863877,-6.49111433,0.082986401,0.021603582,2.108666064,0.817791784,1.966743885
41.73170223,31.83529479,19.26528235,-0.2202176,-6.10864829,0.056631557,0.022833433,3.195136992,0.779629911,2.003998826
41.62784565,35.37083296,16.66825588,-0.6296586,-6.72332184,0.030879692,0.021954882,2.998779254,0.781826664,2.007940398
41.19692683,42.78295521,12.46193665,15.76418322,-3.065288,0.038360406,0.056057768,1.38813358,0.743387467,1.829780744
41.10798468,34.43792153,16.57026361,0.2515406,-7.69370798,0.033735859,0.029798541,2.712962973,0.72329956,2.008098339
41.09261556,32.22162544,19.09194905,1.04615758,-4.20678545,0.04168712,0.034071715,3.068581538,0.839512246,1.962401957
40.8159594,29.69066423,22.89234125,9.22842656,-5.85916137,-0.026032975,0.038941539,-0.417642861,0.663594331,2.187327803
40.78658219,35.54796467,17.71042666,-0.45927609,-7.37319789,0.029118058,0.030922985,2.754832794,0.784511659,1.960069456
40.7703267,40.02762573,18.60243301,2.57954817,-3.31935609,0.074863272,0.082799695,6.143879091,0.871397202,1.864302237
40.58695884,31.53156128,14.55276307,8.34247052,-7.34171268,-0.020424712,0.034657358,-0.79121594,0.717745295,2.160301345
40.5317694,30.9338248,17.26758876,0.3823989,-5.95695264,0.004966312,0.030046962,3.314654209,0.597378713,2.086750933
40.49804893,31.72880344,26.26078855,9.45665836,-0.20223682,-0.058597946,0.051674176,-0.854048046,0.686754073,2.106383181
40.46277608,45.6123721,18.96560631,1.27072483,-1.94604697,0.085923817,0.035446045,2.551342685,0.867881001,1.753710011
40.43859525,35.82474877,16.18908891,-0.15527017,-7.06744912,0.051134923,0.040385319,2.420885185,0.736062319,1.945729026
40.16057243,34.17165247,32.0829691,6.561824,-8.79823085,-0.03563374,0.043999602,-0.308470721,0.623393444,2.292437637
40.16057243,34.17165247,32.0829691,6.561824,-8.79823085,0.086788168,0.051480943,3.88498585,0.475226257,2.090611981
40.11802657,31.00665613,25.34092885,8.74159911,-5.44941103,-0.00371465,0.039089336,-0.663946574,0.661410674,2.153617615
40.00257385,33.6552583,23.09986023,9.40911864,-5.60408099,0.035259818,0.041481208,2.233711758,0.744707002,2.092399146
39.93553907,29.9090707,23.31609605,9.30950268,-3.45883885,0.003365735,0.051763576,-1.046701388,0.721689816,2.139130044
39.80658351,31.09028715,16.16653861,9.23903464,-6.14071836,0.030575343,0.04834156,-1.031107523,0.72677024,2.122845496
